// PERIODIC TABLE ELEMENT :
// http://www.webelements.com/
// Name	Symbol(Mass_Number)	Atomic_Mass	Natural_Abundance
TIN        Sn(112) 111.904821 0.97 Sn(114) 113.902782 0.65 Sn(115) 114.903346 0.34 Sn(116) 115.901744 14.53 Sn(117) 116.902954 7.68 Sn(118) 117.901606 24.23 Sn(119) 118.903309 8.59 Sn(120) 119.902197 32.59 Sn(122) 121.903440 4.63 Sn(124) 123.905275 5.79
ANTIMONY   Sb(121) 120.903818 57.36 Sb(123) 122.904216 42.64
TELLURIUM  Te(120) 119.90402 0.096 Te(122) 121.903047 2.603 Te(123) 122.904273 0.908 Te(124) 123.902819 4.816 Te(125) 124.904425 7.139 Te(126) 125.903306 18.95 Te(128) 127.904461 31.69 Te(130) 129.906223 33.80
IODINE     I(127) 126.904468 100
XENON      Xe(124) 123.905896 0.10 Xe(126) 125.904269 0.09 Xe(128) 127.903530 1.91 Xe(129) 128.9047794 26.4 Xe(130) 129.903508 4.1 Xe(131) 130.905082 21.2 Xe(132) 131.904154 26.9 Xe(134) 133.9053945 10.4 Xe(136) 135.907220 8.9
CAESIUM    Cs(133) 132.905447 100
BARIUM     Ba(130) 129.906310 0.106 Ba(132) 131.905056 0.101 Ba(134) 133.904503 2.417 Ba(135) 134.905683 6.592 Ba(136) 135.904570 7.854 Ba(137) 136.905821 11.23 Ba(138) 137.905241 71.70
HAFNIUM    Hf(174) 173.940040 0.162 Hf(176) 175.941402 5.206 Hf(177) 176.943220 18.606 Hf(178) 177.943698 27.297 Hf(179) 178.945815 13.629 Hf(180) 179.946549 35.100
TANTALUM   Ta(180) 179.947466 0.012 Ta(181) 180.947996 99.988
TUNGSTEN   W(180) 179.946706 0.13 W(182) 181.948206 26.3 W(183) 182.950224 14.3 W(184) 183.950933 30.67 W(186) 185.954362 28.6
RHENIUM    Re(185) 184.952956 37.40 Re(187) 186.955751 62.60
OSMIUM     Os(184) 183.952491 0.02 Os(186) 185.953838 1.58 Os(187) 186.955748 1.6 Os(188) 187.955836 13.3 Os(189) 188.958145 16.1 Os(190) 189.958445 26.4 Os(192) 191.961479 41.0
IRIDIUM    Ir(191) 190.960591 37.3 Ir(193) 192.962924 62.7
PLATINUM   Pt(190) 189.959930 0.01 Pt(192) 191.961035 0.79 Pt(194) 193.962664 32.9 Pt(195) 194.964774 33.8 Pt(196) 195.964935 25.3 Pt(198) 197.967876 7.2
GOLD       Au(197) 196.966552 100
MERCURY    Hg(196) 195.965815 0.15 Hg(198) 197.966752 9.97 Hg(199) 198.968262 16.87 Hg(200) 199.968309 23.10 Hg(201) 200.970285 13.18 Hg(202) 201.970626 29.86 Hg(204) 203.973476 6.87
THALLIUM   Tl(203) 202.972329 29.524 Tl(205) 204.974412 70.476
LEAD       Pb(204) 203.973029 1.4 Pb(206) 205.974449 24.1 Pb(207) 206.975881 22.1 Pb(208) 207.976636 52.4
BISMUTH    Bi(209) 208.980383 100
POLONIUM   Po(209) 208.982416 0
ASTATINE   At(210) 209.987131 0
RADON      Rn(211) 210.990585 0 Rn(222) 222.017570 0
FRANCIUM   Fr(223) 223.019731 0
RADIUM     Ra(223) 223.018497 0 Ra(225) 225.023604 0 Ra(226) 226.025403 0
